Twinning town/ city name,UK town/ city name,EUR town/ city name,EUR Country,EUR UA Code ,UK UA Code ,EUR_TT1060I,UK_TT1060I,EUR_SA2007I,UK_SA2007I,EUR_DE1059I,UK_DE1059I,EUR_DE1061I,UK_DE1061I,EUR_DE1057I,UK_DE1057I,EUR_DE1055I,UK_DE1055I,EUR_DE1073I,UK_DE1073I,EUR_DE1058I,UK_DE1058I,EUR_DE2001I,UK_DE2001I,EUR_TT1057V,UK_TT1057V,EUR_EC2009I,UK_EC2009I,EUR_TE2028I,UK_TE2028I,EUR_DE1064I,UK_DE1064I,EUR_DE1025I,UK_DE1025I,EUR_DE1085I,UK_DE1085I,EUR_EC2022I,UK_EC2022I,EUR_TT1057I,UK_TT1057I,EUR_DE1060I,UK_DE1060I,EUR_DE1003I,UK_DE1003I,EUR_TT1060V,UK_TT1060V,EUR_EC1174V,UK_EC1174V,EUR_SA2029I,UK_SA2029I,EUR_DE1028I,UK_DE1028I,EUR_EC1180V,UK_EC1180V,EUR_DE1076I,UK_DE1076I,EUR_DE2007I,UK_DE2007I,EUR_DE1073V,UK_DE1073V,EUR_CR1015V,UK_CR1015V,EUR_SA2018V,UK_SA2018V,EUR_SA2021V,UK_SA2021V,EUR_SA2019V,UK_SA2019V,EUR_CR1010V,UK_CR1010V,EUR_SA2020V,UK_SA2020V,EUR_SA2017V,UK_SA2017V,EUR_DE1049I,UK_DE1049I,EUR_DE2012V,UK_DE2012V,EUR_SA2007V,UK_SA2007V,EUR_EC1001V,UK_EC1001V,EUR_DE1040I,UK_DE1040I,EUR_SA2004I,UK_SA2004I,EUR_EC1003V,UK_EC1003V,EUR_EC1002V,UK_EC1002V,EUR_EC1179V,UK_EC1179V,EUR_DE1084I,UK_DE1084I,EUR_DE2009V,UK_DE2009V,EUR_DE2002V,UK_DE2002V,EUR_DE2010V,UK_DE2010V,EUR_DE1046I,UK_DE1046I,EUR_DE2008V,UK_DE2008V,EUR_SA2004V,UK_SA2004V,EUR_EC1012V,UK_EC1012V,EUR_DE2001V,UK_DE2001V,EUR_DE2003V,UK_DE2003V,EUR_DE2008I,UK_DE2008I,EUR_EC1010V,UK_EC1010V,EUR_SA1005V,UK_SA1005V,EUR_SA2013V,UK_SA2013V,EUR_SA1001V,UK_SA1001V,EUR_EC1011V,UK_EC1011V,EUR_EC1177V,UK_EC1177V,EUR_TE2031V,UK_TE2031V,EUR_EC2037V,UK_EC2037V,EUR_EN4008V,UK_EN4008V,EUR_DE2003I,UK_DE2003I,EUR_EC2020V,UK_EC2020V,EUR_DE1074V,UK_DE1074V,EUR_SA1004V,UK_SA1004V,EUR_EC1003I,UK_EC1003I,EUR_TE2031I,UK_TE2031I,EUR_EC1011I,UK_EC1011I,EUR_DE2009I,UK_DE2009I,EUR_EC2022V,UK_EC2022V,EUR_DE1060V,UK_DE1060V,EUR_DE1079V,UK_DE1079V,EUR_EC1020I,UK_EC1020I,EUR_EC2008I,UK_EC2008I,EUR_EC1012I,UK_EC1012I,EUR_EC2009V,UK_EC2009V,EUR_DE2011V,UK_DE2011V,EUR_DE1078V,UK_DE1078V,EUR_DE1047V,UK_DE1047V,EUR_EC2038V,UK_EC2038V,EUR_DE1040V,UK_DE1040V,EUR_DE1075V,UK_DE1075V,EUR_EC1001I,UK_EC1001I,EUR_EC2032V,UK_EC2032V,EUR_EC2034V,UK_EC2034V,EUR_DE1046V,UK_DE1046V,EUR_DE1061V,UK_DE1061V,EUR_DE1076V,UK_DE1076V,EUR_EC2021V,UK_EC2021V,EUR_EC1002I,UK_EC1002I,EUR_EC1176V,UK_EC1176V,EUR_EC2008V,UK_EC2008V,EUR_DE2002I,UK_DE2002I,EUR_EC2033V,UK_EC2033V,EUR_DE1049V,UK_DE1049V,EUR_DE1050V,UK_DE1050V,EUR_EC2036V,UK_EC2036V,EUR_EC1178V,UK_EC1178V,EUR_DE1042V,UK_DE1042V,EUR_EC1175V,UK_EC1175V,EUR_DE1056V,UK_DE1056V,EUR_DE1062V,UK_DE1062V,EUR_DE1077V,UK_DE1077V,EUR_DE1041V,UK_DE1041V,EUR_TE1026I,UK_TE1026I,EUR_EC2035V,UK_EC2035V,EUR_DE1058V,UK_DE1058V,EUR_DE1003V,UK_DE1003V,EUR_TE2028V,UK_TE2028V,EUR_DE1059V,UK_DE1059V,EUR_DE1048V,UK_DE1048V,EUR_DE1051V,UK_DE1051V,EUR_DE1029V,UK_DE1029V,EUR_DE1027V,UK_DE1027V,EUR_DE1026V,UK_DE1026V,EUR_DE1028V,UK_DE1028V,EUR_DE1030V,UK_DE1030V,EUR_DE1055V,UK_DE1055V,EUR_DE1066V,UK_DE1066V,EUR_DE1064V,UK_DE1064V,EUR_DE1025V,UK_DE1025V,EUR_DE1002V,UK_DE1002V,EUR_SA1013V,UK_SA1013V,EUR_SA1025V,UK_SA1025V,EUR_DE1057V,UK_DE1057V,EUR_DE1065V,UK_DE1065V,EUR_DE1001V,UK_DE1001V,EUR_SA3005V,UK_SA3005V,EUR_DE1063V,UK_DE1063V,EUR_DE3004I,UK_DE3004I,EUR_DE3017V,UK_DE3017V,EUR_EC2039V,UK_EC2039V,EUR_DE3001V,UK_DE3001V,EUR_TE1028V,UK_TE1028V,EUR_TE1027V,UK_TE1027V,EUR_TE2025V,UK_TE2025V,EUR_TE1026V,UK_TE1026V,EUR_SA1011V,UK_SA1011V,EUR_SA1050V,UK_SA1050V,EUR_SA1051V,UK_SA1051V,EUR_SA1012V,UK_SA1012V,EUR_SA2016V,UK_SA2016V
Newcastle upon Tyne/Groningen,Newcastle upon Tyne,Groningen,Netherlands,NL007C1,UK013C1,:,0.336,:,10.754,:,37.5,:,1.1,:,140.5,:,6.7,:,16.6,:,60.7,:,90.6,:,"87,888",:,:,:,43.2,:,11.2,:,10.2,:,5,:,2.7,:,294.9,:,23.2,:,97.9,:,10,:,"138,400",:,8.533,:,7.7,:,"19,500",:,10.9,:,8,:,32.4,:,6,:,148,:,"1,268",:,"2,543",:,18,:,"1,275",:,309,:,13.3,:,"23,823",:,"3,205",:,"147,300",:,5.6,:,2.184,:,"67,900",:,"79,400",:,"62,400",:,5.8,:,"39,086",:,"9,464",:,"9,436",:,6.9,:,"254,514",:,7,:,"2,600",:,"269,982",:,"14,359",:,85.4,:,"6,800",:,"50,150",:,135,:,"129,780",:,"4,200",:,"133,000",:,"68,900",:,"70,700",:,139.7,:,4.8,:,"185,548",:,"17,350",:,"74,310",:,54.9,:,47.2,:,5.3,:,13.1,:,"5,000",:,"22,829",:,"7,271",:,4.6,:,0.1,:,3.8,:,:,:,"29,650",:,"7,702",:,"10,391",:,"10,100",:,"16,732",:,"8,935",:,59.2,:,"44,600",:,"6,000",:,"20,530",:,"32,612",:,"8,415",:,"7,955",:,63.3,:,"64,100",:,100,:,3.2,:,"9,000",:,"39,551",:,"20,260",:,"27,800",:,"70,600",:,"8,161",:,"74,300",:,"8,282",:,"16,470",:,"14,973",:,"8,571",:,178,:,"4,000",:,"49,422",:,"147,431",:,"63,000",:,"26,594",:,"10,139",:,"19,291",:,"11,399",:,"15,312",:,"15,217",:,"23,062",:,"11,663",:,"19,916",:,"16,576",:,"33,344",:,"30,529",:,"150,588",:,:,:,"1,792",:,"11,634",:,"16,769",:,"298,019",:,1,:,"16,142",:,2.4,:,"293,818",:,"10,820",:,"122,114",:,"28,340",:,"24,755",:,"16,500",:,"53,115",:,:,:,"215,112.62",:,"129,363.00",:,:,:,457
Newcastle upon Tyne/Malmö,Newcastle upon Tyne,Malmö,Sweden,SE003C1,UK013C1,0.15,0.336,15.64,10.754,37.1,37.5,1.6,1.1,152.8,140.5,7,6.7,19,16.6,61.7,60.7,85.6,90.6,"92,161","87,888",7,:,34.7,43.2,11.7,11.2,9.9,10.2,5,5,6.1,2.7,276.2,294.9,24.7,23.2,102.2,97.9,5,10,"143,965","138,400",8.114,8.533,8.2,7.7,"21,327","19,500",14.7,10.9,14.4,8,35,32.4,:,6,134,148,"1,502","1,268","2,707","2,543",13,18,"1,205","1,275",217,309,6.5,13.3,"48,091","23,823","5,218","3,205","150,689","147,300",7.2,5.6,2.683,2.184,"74,415","67,900","76,274","79,400","69,131","62,400",6.2,5.8,"110,464","39,086","21,930","9,464","30,864","9,436",4.5,6.9,"223,169","254,514",14,7,"10,011","2,600","285,542","269,982","26,161","14,359",66.9,85.4,"22,636","6,800","128,098","50,150",:,135,"155,238","129,780","12,625","4,200","138,786","133,000","78,595","68,900","57,345","70,700",:,139.7,7.8,4.8,"180,145","185,548","20,754","17,350","27,140","74,310",53.7,54.9,42.5,47.2,16.6,5.3,33.1,13.1,"11,042","5,000","32,217","22,829","8,089","7,271",15,4.6,0.1,0.1,13.5,3.8,"12,653",:,"79,600","29,650","8,545","7,702","7,834","10,391","8,765","10,100","23,964","16,732","10,527","8,935",55.3,59.2,"41,046","44,600","3,843","6,000","15,127","20,530","49,205","32,612","10,227","8,415","28,648","7,955",57.1,63.3,"71,268","64,100",245,100,6.6,3.2,"11,184","9,000","21,525","39,551","10,287","20,260","30,015","27,800","69,655","70,600","11,685","8,161","72,697","74,300","9,274","8,282","25,686","16,470","16,634","14,973","12,279","8,571",:,178,"4,007","4,000","63,285","49,422","168,628","147,431","64,144","63,000","31,068","26,594","7,293","10,139","11,238","19,291","13,041","11,399","16,630","15,312","16,518","15,217","27,418","23,062","14,377","11,663","23,448","19,916","19,179","16,576","39,125","33,344","33,148","30,529","165,005","150,588",:,:,:,"1,792","14,174","11,634","19,946","16,769","333,633","298,019",:,1,"23,519","16,142",2.2,2.4,"323,805","293,818","18,510","10,820","146,862","122,114",:,"28,340",:,"24,755","34,891","16,500",:,"53,115",:,:,:,"215,112.62",:,"129,363.00",:,:,351,457
Newcastle upon Tyne/Nancy,Newcastle upon Tyne,Nancy,France,FR016C1,UK013C1,:,0.336,:,10.754,:,37.5,:,1.1,:,140.5,:,6.7,:,16.6,:,60.7,:,90.6,:,"87,888",:,:,:,43.2,:,11.2,:,10.2,:,5,:,2.7,:,294.9,:,23.2,:,97.9,:,10,:,"138,400",:,8.533,:,7.7,:,"19,500",:,10.9,:,8,:,32.4,9,6,:,148,:,"1,268",:,"2,543",:,18,:,"1,275",:,309,:,13.3,:,"23,823",:,"3,205",:,"147,300",:,5.6,:,2.184,:,"67,900",:,"79,400",:,"62,400",:,5.8,:,"39,086",:,"9,464",:,"9,436",:,6.9,:,"254,514",:,7,:,"2,600",:,"269,982",:,"14,359",:,85.4,:,"6,800",:,"50,150",:,135,:,"129,780",:,"4,200",:,"133,000",:,"68,900",:,"70,700",:,139.7,:,4.8,:,"185,548",:,"17,350",:,"74,310",:,54.9,:,47.2,:,5.3,:,13.1,:,"5,000",:,"22,829",:,"7,271",:,4.6,:,0.1,:,3.8,:,:,:,"29,650",:,"7,702",:,"10,391",:,"10,100",:,"16,732",:,"8,935",:,59.2,:,"44,600",:,"6,000",:,"20,530",:,"32,612",:,"8,415",:,"7,955",:,63.3,:,"64,100",:,100,:,3.2,:,"9,000",:,"39,551",:,"20,260",:,"27,800",:,"70,600",:,"8,161",:,"74,300",:,"8,282",:,"16,470",:,"14,973",:,"8,571",:,178,:,"4,000",:,"49,422",:,"147,431",:,"63,000",:,"26,594",:,"10,139",:,"19,291",:,"11,399",:,"15,312",:,"15,217",:,"23,062",:,"11,663",:,"19,916",:,"16,576",:,"33,344",:,"30,529",:,"150,588",:,:,:,"1,792",:,"11,634",:,"16,769",:,"298,019",:,1,:,"16,142",:,2.4,:,"293,818",:,"10,820",:,"122,114",:,"28,340",:,"24,755",:,"16,500",:,"53,115",:,:,:,"215,112.62",:,"129,363.00",:,:,:,457
North Tyneside/Mönchengladbach,North Tyneside,Mönchengladbach,Germany,DE036C1,UK529C1,0.267,0.049,:,10.69,30.7,37.7,0.5,0.6,150.9,149.8,10.8,8.8,13.2,12.3,64.9,71.9,84.7,95.8,:,"84,360",13.9,10,:,49.5,15.5,14.7,14.4,13.3,4.5,5.6,5.3,4.6,:,411.1,34.2,34.2,103.4,106.8,7,1,"123,927","93,800",:,10.686,9.9,11.1,"25,401","15,700",11.5,13.1,15.3,3,:,43.4,5,5,:,136,:,"1,148",:,"2,193",:,16,:,"1,045",:,211,6,4.8,"40,081","6,245",:,"2,194","127,032","99,300",4.7,5.6,:,4.558,"58,317","49,000","68,714","50,300","54,406","45,400",4.4,5.8,"61,900","12,263","17,900","4,826","27,100","5,405",5.1,5,"200,300","190,626",:,10,"2,702","1,600","222,107","196,644","22,200","1,419",76.4,92.9,"7,219","4,300","88,365","24,010",:,89,"137,512","98,560","4,517","2,700","117,137","90,200",:,"38,700","32,242","24,500",:,92.61,8.5,0.7,"122,848","87,187","11,409","11,944","49,147","65,550",50.2,54.9,:,35.3,6.6,5.4,23.6,6,"6,470","4,000","16,763","13,302","5,727","5,481",5.7,4.3,0.3,0.1,4.6,3.3,"17,113","8,736","34,800","6,858","6,069","5,936","6,880","5,251","6,324","3,300","12,295","11,455","5,897","6,170",56,58.3,"33,620","19,900","5,183","2,500","13,299","10,194","30,076","26,797","5,512","5,774",:,"5,070",62.1,62,"56,933","46,900",357,50,6.8,2.4,"1,743","8,000","15,746","9,899","7,946","5,086","18,564","14,400","62,731","44,800","5,942","5,518","66,995","46,900","11,304","7,243","15,034","13,066","11,796","11,416","6,353","5,937",32,:,"1,233","1,750","34,684","25,231","133,263","106,004",:,"54,200","17,921","11,929","6,419","4,944","7,800","4,814","12,327","10,767","19,212","14,194","18,582","13,173","26,016","22,729","13,689","11,962","28,359","18,092","20,102","15,437","40,714","30,107","37,794","27,367","128,925","99,225",:,:,:,"1,341","17,055","10,850","20,612","14,671","262,188","205,229",:,2,"15,042","13,732",1.9,2.2,"257,600","203,348",:,"6,410","137,100","94,256",:,:,:,:,:,"6,700","8,401",:,:,:,:,"218,342.09",:,"113,954.00","6,934",:,:,347
Northampton/Marburg,Northampton,Marburg,Germany,DE053C1,UK528C1,:,:,:,13.31,24.9,44.4,2.1,0.1,153.4,133.4,8.4,6.5,19.8,14.2,48.6,70.1,87.6,83.5,:,"105,881",13,:,:,51.2,11.7,13.4,11.1,10.6,3.6,6.1,2.3,4.3,:,469.7,23.7,25.6,109.6,101.4,:,:,"35,520","113,700",:,8.026,7.5,8.6,"6,130","13,100",10.3,14.1,12.4,16.8,:,37.2,:,4,:,150,:,912,:,"1,809",:,:,:,897,:,201,14.5,6.5,"9,473","37,916",:,"3,000","36,642","122,100",4,7.3,:,4,"17,998","59,700","18,644","62,400","17,161","53,700",3.6,7.2,:,"46,010",:,"30,748",:,"27,667",5.4,5.6,:,"180,146",:,12,407,"2,200","66,753","188,240",:,"7,168",:,79.9,"1,234","7,500","28,730","17,490",:,101,"40,565","96,630",828,"5,300","34,413","107,500",:,"40,200","25,096","36,700",:,83.81,:,3.2,"53,193","139,803","2,764","16,170","11,835","68,530",50.4,65.8,:,34.1,4.4,8.5,:,20.4,"1,219","6,000","7,351","15,938","1,347","6,895",3.4,6.1,0.1,0.1,2.3,3.7,"6,932",:,:,"18,343","1,427","6,795","1,915","6,356","3,035","7,400","3,069","16,367","1,422","8,339",54.2,68.1,"9,009","41,300",898,"8,000","4,148","12,665","7,836","31,692","1,342","7,831",:,"10,715",58.4,70.5,"17,535","55,000",39,75,:,13.6,993,"3,000","11,069","14,659","4,726","7,424","5,622","23,500","17,253","53,800","1,482","8,065","17,985","58,700","2,541","6,276","4,018","16,183","2,774","13,690","1,587","8,302",317,53,349,"1,500","15,076","32,005","39,854","113,464",:,"60,300","7,725","16,068","2,233","6,309","6,343","7,236","2,655","9,223","4,393","12,253","4,036","11,716","5,741","19,334","3,086","10,111","6,439","14,649","4,561","14,947","8,881","30,204","8,429","23,969","36,372","111,937",:,:,:,569,"3,898","8,373","4,320","15,257","76,226","225,401",:,7,"3,818","15,509",:,2.4,:,"226,156",:,"12,505",:,"95,002",:,"7,745",:,"4,220",:,"8,300","24,179","11,970",:,:,:,"268,522.84",:,"148,505.00",:,:,:,351
Northampton/Poitiers,Northampton,Poitiers,France,FR021C2,UK528C1,:,:,:,13.31,:,44.4,:,0.1,:,133.4,:,6.5,:,14.2,:,70.1,:,83.5,:,"105,881",:,:,:,51.2,:,13.4,:,10.6,:,6.1,:,4.3,:,469.7,:,25.6,:,101.4,:,:,:,"113,700",:,8.026,:,8.6,:,"13,100",:,14.1,:,16.8,:,37.2,5,4,:,150,:,912,:,"1,809",:,:,:,897,:,201,:,6.5,:,"37,916",:,"3,000",:,"122,100",:,7.3,:,4,:,"59,700",:,"62,400",:,"53,700",:,7.2,:,"46,010",:,"30,748",:,"27,667",:,5.6,:,"180,146",:,12,:,"2,200",:,"188,240",:,"7,168",:,79.9,:,"7,500",:,"17,490",:,101,:,"96,630",:,"5,300",:,"107,500",:,"40,200",:,"36,700",:,83.81,:,3.2,:,"139,803",:,"16,170",:,"68,530",:,65.8,:,34.1,:,8.5,:,20.4,:,"6,000",:,"15,938",:,"6,895",:,6.1,:,0.1,:,3.7,:,:,:,"18,343",:,"6,795",:,"6,356",:,"7,400",:,"16,367",:,"8,339",:,68.1,:,"41,300",:,"8,000",:,"12,665",:,"31,692",:,"7,831",:,"10,715",:,70.5,:,"55,000",:,75,:,13.6,:,"3,000",:,"14,659",:,"7,424",:,"23,500",:,"53,800",:,"8,065",:,"58,700",:,"6,276",:,"16,183",:,"13,690",:,"8,302",:,53,:,"1,500",:,"32,005",:,"113,464",:,"60,300",:,"16,068",:,"6,309",:,"7,236",:,"9,223",:,"12,253",:,"11,716",:,"19,334",:,"10,111",:,"14,649",:,"14,947",:,"30,204",:,"23,969",:,"111,937",:,:,:,569,:,"8,373",:,"15,257",:,"225,401",:,7,:,"15,509",:,2.4,:,"226,156",:,"12,505",:,"95,002",:,"7,745",:,"4,220",:,"8,300",:,"11,970",:,:,:,"268,522.84",:,"148,505.00",:,:,:,351
Norwich/Koblenz,Norwich,Koblenz,Germany,DE042C1,UK566C1,0.264,:,:,10.871,27.1,35.8,0.2,0.5,160.3,137.6,12,7,16.2,17.3,62.2,59.5,87.3,86.6,:,"49,302",8.6,:,:,54,13.5,11.4,12.7,9.2,3.8,4.8,2.5,3.1,:,350.3,35.1,23.7,105.6,101.7,3,:,"56,323","70,400",:,8.213,9.7,7.8,"10,324","8,100",11.6,12.2,12.7,13.4,:,33.3,3,2,:,73,:,558,:,"1,156",:,:,:,598,:,132,7.7,12.6,"14,475","18,799",:,"1,530","57,489","75,900",4.5,5.7,:,:,"27,251","36,200","30,237","39,800","25,844","32,800",3.9,5.7,"26,700","20,777","4,800","9,541","9,500","9,667",4.5,6.3,"87,200","119,889",:,:,865,:,"99,369","121,867","9,700","9,258",76.6,85.2,"2,285","3,200","44,159","23,210",:,66,"61,508","65,530","1,420","2,400","54,180","68,000",:,"35,200","36,066","25,100",:,44.89,8.5,6.6,"96,313","95,485","4,474","8,031","17,349","39,390",52.7,60.5,:,49.9,4.7,6,23.5,14.8,"2,449","3,000","8,786","11,835","2,045","3,277",4,4.2,0.2,0,3.2,:,"8,279",:,"17,200","11,110","2,286","3,418","2,581","4,247","4,415","5,800","5,107","8,047","2,290","4,134",57.5,64.3,"21,965","29,000","5,862","3,500","5,109","8,828","13,187","17,150","2,184","3,897",:,"4,605",62.8,68.5,"26,666","33,200",185,10,4.2,6.8,"3,988","3,000","8,787","17,697","4,158","8,382","12,411","18,600","28,335","35,100","2,496","3,931","29,658","37,100","5,234","4,164","6,778","8,854","4,331","6,695","2,611","4,116",139,143,693,"2,000","18,398","24,383","58,472","70,950",:,"38,100","9,612","12,548","2,528","4,581","4,629","9,315","5,080","5,195","7,442","6,560","6,997","6,446","11,011","10,995","5,931","5,800","13,623","9,895","7,633","7,728","15,378","16,022","14,439","13,006","55,372","69,795",:,:,:,462,"8,389","5,731","7,745","8,295","113,844","140,745",:,2,"6,409","8,297",1.8,2.2,"110,800","140,666",:,"6,265","60,619","63,063",:,"12,195",:,"7,945",:,"6,400","15,789","20,175",:,:,:,"273,256.88",:,"162,642.00","1,568",:,:,205
Nottingham/Gent,Nottingham,Gent,Belgium,BE003C1,UK029C1,0.23,0.03,12.162,11.65,34.1,40.8,0.3,1,161.2,145.7,8.3,5.3,18.6,16.7,60.7,59.1,85.8,79.1,"108,499","89,510",14.9,7.2,:,51.1,12.1,11,10.9,8.8,5,5.3,3.3,3,416.8,271.1,26.6,18.3,100.8,97.1,6,1,:,"144,900",8.962,7.003,8.2,6.2,:,"20,400",14.2,11.4,14.2,19.1,37,29.7,8,8,122,203,"1,195","1,121","2,333","2,312",24,15,"1,138","1,191",247,315,6.4,15,"37,025","63,119","3,166","3,846",:,"154,400",5.8,6.3,3.79,6.24,:,"69,000",:,"85,400",:,"60,900",5.7,6.1,"54,315","77,886","20,526","31,559","20,538","27,565",4.8,7.9,"206,014","246,590",12,24,"3,000","3,100","223,304","261,181","16,499","31,560",79.1,74.7,"7,106","9,300",:,"37,570",:,151,"142,287","137,220","4,106","6,200",:,"136,400",:,"59,200","68,372","64,800",99.8,166.63,6.3,9.6,"190,643","199,769","14,733","20,108",:,"91,530",:,51.4,:,37.5,:,7.3,20.9,23.6,"6,337","6,000","23,481","25,871","6,346","8,477",:,6,0.2,0,:,4.5,"28,417","14,317","33,777","50,321","6,634","9,098","6,433","12,844","6,777","9,100","15,041","20,932","7,460","10,362",:,56.9,"30,276","54,100","4,946","5,000","12,496","26,065","36,986","37,591","7,273","9,746",:,"9,035",:,62.2,:,"64,000",327,0,7.9,9.6,"6,580","10,000","16,614","49,426","8,335","25,218","36,611","31,700",:,"75,500","7,311","10,148",:,"81,000","8,288","7,085","19,322","19,858","12,980","17,575","7,730","10,784",:,194,"2,000","4,500","48,481","55,088","130,653","162,654",:,"80,800","25,000","29,217","6,063","13,221","8,279","24,208","10,098","10,413","14,313","14,615","14,011","14,383","21,451","20,587","11,353","10,174","21,651","17,408","15,207","18,141","31,572","36,364","28,324","28,998","129,676","167,485",:,:,:,"1,321","13,363","10,323","16,365","18,224","260,329","330,139",2,6,"17,664","17,733",2.1,2.5,"256,386","323,898",:,"11,715","119,721","128,947",:,"35,365",:,"28,575",:,"20,900",:,"63,990",:,:,"294,797.00","178,449.02","254,230.00","127,382.00",:,:,369,518
Nottingham/Karlsruhe,Nottingham,Karlsruhe,Germany,DE035C1,UK029C1,0.321,0.03,:,11.65,25.5,40.8,0.6,1,152.3,145.7,10,5.3,17.6,16.7,53.7,59.1,81.5,79.1,:,"89,510",10.1,7.2,:,51.1,14.1,11,11.8,8.8,3.8,5.3,3.2,3,:,271.1,28.2,18.3,95.4,97.1,10,1,"156,309","144,900",:,7.003,8.4,6.2,"26,786","20,400",12.7,11.4,18.5,19.1,:,29.7,12,8,:,203,:,"1,121",:,"2,312",:,15,:,"1,191",:,315,8.9,15,"57,854","63,119",:,"3,846","158,739","154,400",4.3,6.3,:,6.24,"72,365","69,000","86,374","85,400","69,229","60,900",3.8,6.1,"73,300","77,886","27,300","31,559","28,900","27,565",4.7,7.9,"238,600","246,590",:,24,"2,074","3,100","254,065","261,181","30,600","31,560",76.5,74.7,"5,185","9,300","125,998","37,570",:,151,"157,715","137,220","3,111","6,200","151,537","136,400",:,"59,200","58,341","64,800",:,166.63,9.8,9.6,"211,013","199,769","11,953","20,108","31,717","91,530",53.9,51.4,:,37.5,3.6,7.3,23.5,23.6,"6,814","6,000","24,554","25,871","5,716","8,477",3.3,6,0.2,0,2.9,4.5,"21,281","14,317","44,400","50,321","6,091","9,098","8,163","12,844","10,816","9,100","13,468","20,932","6,218","10,362",57.8,56.9,"44,478","54,100","10,641","5,000","14,573","26,065","39,608","37,591","5,735","9,746",:,"9,035",61.5,62.2,"71,139","64,000",331,0,8.8,9.6,"18,936","10,000","27,838","49,426","16,177","25,218","37,498","31,700","82,308","75,500","6,538","10,148","85,169","81,000","12,353","7,085","20,619","19,858","11,807","17,575","6,930","10,784",129,194,"1,876","4,500","54,924","55,088","152,260","162,654",:,"80,800","30,370","29,217","6,410","13,221","11,661","24,208","12,032","10,413","18,589","14,615","18,095","14,383","26,071","20,587","14,039","10,174","31,164","17,408","21,218","18,141","43,829","36,364","36,684","28,998","159,659","167,485",:,:,:,"1,321","18,811","10,323","22,611","18,224","311,919","330,139",:,6,"18,989","17,733",:,2.5,:,"323,898",:,"11,715","173,856","128,947",:,"35,365",:,"28,575",:,"20,900","40,339","63,990",:,:,:,"178,449.02",:,"127,382.00","3,682",:,:,518
Oxford/Bonn,Oxford,Bonn,Germany,DE034C1,UK560C1,0.092,:,:,10.76,31.5,38,1,-0.3,160.4,139.5,9.7,5.7,15.6,16.6,60.3,56.9,83.8,75.1,:,"46,355",4.7,:,:,22.2,14.4,10.4,12,8.3,4.7,5.3,1.7,4.9,:,300.1,28.8,19,109.2,96,3,:,"155,244","83,100",:,5.918,8.2,6.4,"26,896","15,000",12.8,11.6,16.2,23,:,29,:,4,:,51,:,449,:,914,:,:,:,465,:,117,7.6,16.8,"52,592","35,488",:,"1,662","156,969","90,500",5.1,5.5,:,3.61,"75,900","40,400","81,069","50,100","73,062","36,600",4.8,5.8,:,"48,360",:,"14,862",:,"18,395",5.1,7.6,:,"103,123",:,6,"2,024",:,"272,898","115,995",:,"20,626",:,66.8,"5,675",:,"128,415","21,090",:,37,"172,932","58,910","3,651",:,"149,776","81,300",:,"60,800","89,414","59,200",:,58.09,:,13.4,"224,069","122,558","15,526","9,003","44,517","38,260",51.6,63.9,:,83.9,4.5,:,:,31.3,"3,879","6,000","26,120","11,368","7,243","4,018",3.6,:,0.1,0.1,2.7,:,"10,453",:,:,"29,965","7,977","4,223","8,410","5,762","20,179","3,200","16,511","8,454","7,972","4,587",56.4,70.3,"37,188","22,200","7,368",900,"16,713","11,679","41,632","17,931","7,554","4,417",:,"4,730",61.8,76.4,"75,009","38,400",252,100,:,9.6,"18,479","7,000","24,643","25,935","11,745","13,695","34,774","16,400","76,714","44,700","7,982","4,045","80,234","44,700","12,187","3,677","20,224","9,171","15,220","8,241","8,529","4,409",125,272,"2,082","1,500","50,790","25,661","169,885","75,654",:,"16,100","24,670","14,293","8,303","5,917","12,898","12,240","11,991","4,736","20,306","6,611","18,788","6,245","26,738","9,845","14,747","5,109","31,733","8,808","23,778","8,041","46,890","16,045","39,094","12,856","155,605","78,801",:,:,:,270,"19,546","5,131","23,112","8,005","325,490","154,455",:,1,"21,408","8,760",:,2.8,:,"151,483",:,"6,235",:,"55,007",:,"22,080",:,"19,975",:,:,"40,815","42,085",:,:,:,"560,953.67",:,"320,386.00",:,:,:,168
